Indicadores,2T18,3T18,4T18,1T19,2T19,3T19,4T19,1T20,2T20,3T20,4T20,1T21,2T21,3T21,4T21,1T22,2T22,3T22,4T22
ROAE / ROAA,8.28992515347742,8.3727442498168,7.95579088181931,7.23539382850817,7.25390304737217,7.06300845894338,7.09464539753529,6.82227177262162,7.1113974730264,7.41695027245343,7.82095852193377,7.52526226615761,7.77122704988559,8.02782985599622,8.391194863885,8.09020683123224,8.36053084819605,8.64301336617921,9.06622053898752
ROAE / ROAA PROM. LTM,7.09738228996043,7.56508602870446,7.92824104858302,7.96346352840543,7.70445800187911,7.37702405416076,7.16173768308975,7.05845716911811,7.02283077553167,7.11131622890918,7.29289451000881,7.4686421333928,7.6335995276076,7.7863194234933,7.92887850898111,8.07011465024976,8.21744059982738,8.37123647737312,8.53999289614875
(Total Patrimonio + Interés Minoritario + Provisiones) / Cartera Bruta,1.00958250505514,0.974257728803183,0.91730686116304,0.891785741883679,0.929725629733357,0.931781276444697,0.932466764410148,0.934289699668107,0.928176731458956,0.922363023896293,0.915862965968656,0.917358074383917,0.914921898894171,0.91263879002296,0.90978579336283,0.911275583025564,0.909307931078833,0.907466463711267,0.904612957347046
(Total Patrimonio + Interés Minoritario + Provisiones) / Cartera Bruta PROM. LTM,1.06031163197217,1.03627303935112,0.994052107646558,0.94823320922626,0.928268990395815,0.917649877306193,0.92143985311797,0.932065842564078,0.931678617995477,0.929324054858376,0.925173105248003,0.920940198926956,0.917626490785759,0.915195432317426,0.91367613916597,0.912155516326381,0.910752024372547,0.909458942794623,0.908165733790677
(Cartera Bruta + Caja & Eq. + Inversiones) / Pasivos con Costo,2.62492088693713E-02,2.41610738255034E-02,9.48652193788827E-02,5.39430385162942E-02,0.054,0.045,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
(Cartera Bruta + Caja & Eq. + Inversiones) / Pasivos con Costo PROM. LTM,2.80722879360486E-02,2.76095750447309E-02,4.15143776074409E-02,4.98046351475129E-02,5.67423329301701E-02,6.19520644737942E-02,4.82357596290735E-02,0.04475,0.04125,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
Provisiones / Cartera Bruta,0.830647720461197,0.698827217510566,0.330485933503836,0.555085413337535,0.55,0.55,0.58,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
Provisiones / Cartera Bruta PROM. LTM,0.70008160879935,0.71468506321263,0.614482701487042,0.603761571203283,0.533599641087984,0.496392836710343,0.558771353334384,0.57,0.5825,0.595,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
Gasto en Provisiones / Cartera Bruta,3.55555866832305E-03,3.95789378673857E-03,-2.74662467240779E-03,7.44423223212977E-04,2.03298016153561E-03,1.25815092823013E-02,1.45147058980166E-02,6.28808278264566E-03,6.56307720208611E-03,6.55870817223892E-03,6.65469054397705E-03,6.75606088588112E-03,7.02740390038567E-03,7.03913561251066E-03,7.00098954806142E-03,7.04309342832307E-03,7.23834582983304E-03,7.16949102864983E-03,7.11771203258987E-03
Gasto en Provisiones / Cartera Bruta PROM. LTM,8.95611224466797E-03,3.97943754542179E-03,4.61091601116045E-03,1.3778127514667E-03,9.97168124769845E-04,3.15307199866052E-03,7.46840464126662E-03,8.85431953112479E-03,9.98684379126242E-03,8.48114351374683E-03,6.51613967523693E-03,6.6331342010458E-03,6.74921587562069E-03,6.86932273568863E-03,6.95589748670972E-03,7.0276556223202E-03,7.08039110468205E-03,7.11297995871684E-03,7.14216057984895E-03
Ingreso Neto por Intereses / (Cartera Bruta + Caja & Eq. + Inversiones) ,1.65527247853431E-02,2.01544571435019E-02,4.16252033686606E-02,2.29690751601221E-02,0.020689667074894,2.21682519302601E-02,2.29757793321434E-02,2.23809904901998E-02,2.34547852439202E-02,2.35759807686712E-02,0.023910120533278,2.29325587344752E-02,2.39989893704829E-02,2.42171560742989E-02,2.44895300001427E-02,2.35120051416374E-02,2.44506265013992E-02,2.45384299739938E-02,2.48038717506047E-02
Ingreso Neto por Intereses / (Cartera Bruta + Caja & Eq. + Inversiones)  PROM. LTM,2.30813415843438E-02,2.15870602362371E-02,2.57891840475021E-02,2.53253651144069E-02,2.63596006867946E-02,2.68630493834842E-02,2.22006933743549E-02,2.20536722068743E-02,2.27449517491309E-02,2.30968839587336E-02,2.33304692590173E-02,2.34683613200861E-02,2.36044123517268E-02,2.37647061781337E-02,2.39095585448499E-02,2.40544201466405E-02,2.41673294293696E-02,2.42476479042933E-02,2.43262333419088E-02
Gasto no financiero / Ingreso Total,0.109725822113789,8.38849641522315E-02,0.105932002871558,7.23708011468405E-02,9.60912189917325E-02,7.38588620358536E-02,0.070020546223305,6.78171021130145E-02,6.55323735347665E-02,6.37661740764035E-02,6.19948090016924E-02,6.00251738104806E-02,5.80934731890983E-02,5.65847143161067E-02,0.056491328393982,5.63622551279448E-02,5.62769417895755E-02,5.65922666264932E-02,5.69076810215214E-02
Gasto no financiero / Ingreso Total PROM. LTM,0.117931360059615,0.10014562581012,0.103281873000994,9.29783975711047E-02,8.95697467905907E-02,8.70632212614962E-02,7.80853570994329E-02,7.69469323409764E-02,6.93072209767349E-02,6.67840489868724E-02,6.47776146814692E-02,6.28296326058358E-02,6.09699075194187E-02,5.91745425793445E-02,5.77986724274169E-02,5.68829427567829E-02,5.64288099069022E-02,5.64306979844989E-02,5.65347861413837E-02
Ingreso No Financiero / Ingreso Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ingreso No Financiero / Ingreso Total PROM. LTM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROAA,0.312342384636844,0.30215330369113,0.305836416523833,0.306107736343673,0.317042866620453,0.332229064990718,0.337773332593342,0.33841886747674,0.335151468366329,0.32570450712522,0.312131275750072,0.298244079327339,0.287017687901487,0.278423313457807,0.272518652823704,0.266399098611729,0.260527735735997,0.254885076337722,0.249322111292695
ROAA PROM. LTM,0.311361777481113,0.311117524229767,0.310313758788837,0.30660996029887,0.307785080794772,0.315304021119669,0.323288250137046,0.331366032920313,0.335893183356782,0.334262043890407,0.32785152967959,0.31780783264224,0.30577438752603,0.293954089109176,0.284050933377585,0.276089688198682,0.269467200157309,0.263582640877288,0.257783505494536
Utilidad Neta / Ingreso Total,0.118541541011276,0.122793300160911,0.126957815140331,0.126543453719953,0.129247310783058,0.134643059475568,0.139360348288121,0.1395,0.13725,0.1305,0.1215,0.1125,0.10575,0.10125,0.099,0.09675,0.0945,0.09225,0.09
Utilidad Neta / Ingreso Total PROM. LTM,0.110056102361717,0.115022931277828,0.120459115141375,0.123709027508118,0.126385469951063,0.129347909779727,0.132448543066675,0.135687679636687,0.137688351940922,0.13665258707203,0.1321875,0.1254375,0.1175625,0.11025,0.104625,0.1006875,0.097875,0.095625,0.093375
Ingreso Total / Total Activo x 4,4.20037249348596E-02,3.49615745474815E-02,6.17718978530374E-02,6.34180618793863E-02,7.18160806175071E-02,7.51710550243935E-02,4.91557822418388E-02,4.67763636482847E-02,4.90141086448252E-02,4.95002581579983E-02,4.92767335407638E-02,4.88274038490505E-02,4.85470548348152E-02,4.85561992115581E-02,0.048650381357389,4.87042241065698E-02,4.86190318168116E-02,0.048413400715398,4.81877866114822E-02
Ingreso Total / Total Activo x 4 PROM. LTM,4.87108784061227E-02,4.45310165517531E-02,0.047370456309806,5.05388148036912E-02,5.79919037243531E-02,6.80442738435811E-02,6.48902449407814E-02,0.060729820383006,5.50293273898356E-02,4.86116281732368E-02,0.048641865997968,4.91546260481594E-02,4.90378625956569E-02,4.88018478590469E-02,4.86452598132032E-02,0.048614464877583,4.86324591230821E-02,4.85967594990421E-02,4.84811108125654E-02
ROAE,0.397724516277159,0.412805686785338,0.380603627933789,0.3776009022963,0.357544135870368,0.352625945083387,0.385238156666178,0.390228173968867,0.387384802738293,0.387781614097517,0.388967549708473,0.390164530133856,0.390841217992056,0.390987694868187,0.390928225742528,0.391040311172544,0.391304975301795,0.391719001419851,0.392178242973787
ROAE PROM. LTM,0.37252194968589,0.389372990631024,0.391529228331682,0.392183683323146,0.382138588221449,0.367093652795961,0.368252284979058,0.3714091028972,0.378869269614181,0.387658186867714,0.388590535128288,0.388574624169535,0.389438727982975,0.390240248175643,0.390730417184157,0.390949362443829,0.391065301771264,0.39124812840918,0.391560632716994
(Caja & Eq. + Inversiones) / Total Activo,9.16583926804734E-02,4.68540780485565E-02,5.60087385905364E-02,2.36003284680341E-02,1.63164931196212E-02,3.95145060616777E-02,8.31222617897039E-02,9.86564247849026E-02,0.110003775347143,9.19192880418311E-02,6.98306406671462E-02,7.06837167238682E-02,7.14963771070641E-02,7.22759277592125E-02,7.27481630780607E-02,7.30573784358251E-02,7.32585316954668E-02,7.33526992827309E-02,0.073420378880375
(Caja & Eq. + Inversiones) / Total Activo PROM. LTM,2.68898600577983E-02,0.039698641479822,5.44695676247729E-02,5.45303844469001E-02,3.56949095566871E-02,3.38600165599674E-02,4.06383973597593E-02,5.94024214389764E-02,8.28242419958568E-02,9.59254374908951E-02,9.26025322102557E-02,8.56093551949971E-02,7.59825056349774E-02,7.10716655643227E-02,7.18010461670514E-02,7.23944615950406E-02,7.28350002421413E-02,7.31041931230209E-02,7.32722470735994E-02
Caretera Bruta / Depósitos Totales,5.87239037210069E-02,0.02974465456589,3.27216654298891E-02,1.08764923770811E-02,7.74346243990822E-03,2.20127359254121E-02,5.32944452789169E-02,6.28199103883858E-02,7.05701693029124E-02,0.05996989546394,4.69599617034335E-02,4.89806738950175E-02,5.09866275171184E-02,0.05297726887684,5.46706551258453E-02,5.62203571207397E-02,0.057668415851384,5.90056571085902E-02,6.03938149696021E-02
Caretera Bruta / Depósitos Totales PROM. LTM,0.023266942782652,0.027623087623744,3.48662877415857E-02,3.30166790234668E-02,2.02715687031921E-02,1.83385890430726E-02,2.34817840053296E-02,3.64676385081558E-02,5.21743152239068E-02,6.16636051085388E-02,6.00799842146679E-02,5.66201750913258E-02,5.17242896448773E-02,4.99761329981023E-02,5.19038063537053E-02,5.37137271601358E-02,5.53841742437022E-02,5.68912713016398E-02,0.058322061262579
Depósitos Totales / Total Pasivo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Depósitos Totales / Total Pasivo PROM. LTM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rating Soberano País de Origen Deuda LP Moneda Extranjera,BBB,BBB-,BBB-,BBB-,BBB-,BBB-,BBB-,BBB-,BBB-,BBB-,BBB-,BBB-,BBB-,BBB-,BBB-,BBB-,BBB-,BBB-,BBB-
